Size,Traditional,Divide & Conquer, Strassen
4x4,305,7020,4760
8x8,780,53795,38030
16x16,3680,439205,276310
32x32,22820,3497375,1941105
64x64,170125,28281975,13665785
128x128,1350160,224542820,95892325
256x256,13853465,1803831355,673339635
2x2,215,570,300
4x4,300,6390,4730
8x8,775,54010,37900
16x16,3650,438055,275300
32x32,22995,3542345,1941745
64x64,169390,28230950,13698650
128x128,1357890,224593475,95774270
256x256,13394700,1803394945,673470865
2x2,225,570,300
4x4,305,6280,4705
8x8,765,54175,38955
16x16,3620,443000,276620
32x32,22755,3527570,1941730
64x64,169820,28230825,13659105
128x128,1355115,224309230,95895430
256x256,13891930,1804836950,673613180
2x2,220,565,310
4x4,310,6360,4715
8x8,775,54105,37875
16x16,3650,440020,275135
32x32,25935,3518065,1950600
64x64,168960,28241240,13688015
128x128,1352345,224498565,95943840
256x256,13416910,1804343665,674024330
2x2,235,600,435
4x4,305,6290,4670
8x8,770,53955,38270
16x16,3680,439125,274610
32x32,22790,3554810,1941840
64x64,169120,28147190,13693150
128x128,1344710,224714020,96095165
256x256,13845105,1804653145,673259250
2x2,210,600,305
4x4,310,6365,4740
8x8,785,54070,37885
16x16,3840,438810,273130
32x32,23055,3518420,1946975
64x64,169250,28166580,13734885
128x128,1354275,224588970,96040380
256x256,13367685,1803921715,673499170
2x2,215,580,275
4x4,310,6305,4705
8x8,775,54180,38670
16x16,3630,440050,276080
32x32,22940,3521470,1949275
64x64,170200,28149365,13645440
128x128,1344930,224416920,96149550
256x256,13842900,1803511105,673500720
2x2,215,585,300
4x4,310,6360,4720
8x8,780,54160,37925
16x16,3900,439365,275215
32x32,23015,3513395,1961375
64x64,169605,28183285,13708285
128x128,1350800,224445230,96137780
256x256,13629965,1804108045,673442585
2x2,240,620,285
4x4,300,6340,4745
8x8,770,53670,37995
16x16,3635,435415,275400
32x32,22915,3518290,1957465
64x64,170120,28197550,13667030
128x128,1347410,224665530,95947200
256x256,13837390,1803055250,673216180
2x2,220,610,290
4x4,305,6265,4705
8x8,780,54395,38160
16x16,3620,440630,276055
32x32,22855,3529540,1946055
64x64,175915,28246275,13642060
128x128,1352745,224533725,95822715
256x256,13819865,1803773375,673564840
2x2,220,540,295
4x4,310,6415,4815
8x8,765,54325,38115
16x16,4300,437875,275785
32x32,22900,3519770,1975280
64x64,169860,28138975,13683965
128x128,1350865,224656315,95952945
256x256,13798005,1804126085,672906555
2x2,215,580,305
4x4,305,6320,4735
8x8,770,54105,37940
16x16,3650,440055,274220
32x32,23255,3513275,1943325
64x64,169835,28407185,13692425
128x128,1362705,224813635,96379805
256x256,13515800,1803883660,673194380
2x2,235,580,290
4x4,305,6365,4880
8x8,780,54030,38215
16x16,3845,439710,275745
32x32,22785,3539340,1947590
64x64,169530,28268840,13655260
128x128,1353310,224692785,96388605
256x256,13870555,1802874460,673677040
2x2,215,525,300
4x4,310,6325,4750
8x8,780,54495,38605
16x16,3660,436930,275160
32x32,22830,3527515,1952715
64x64,170360,28151245,13659380
128x128,1357085,224286755,95840520
256x256,13374640,1804011885,673408390
2x2,220,575,290
4x4,310,6340,4735
8x8,780,54595,38135
16x16,3690,434335,277670
32x32,22955,3540175,1940880
64x64,169830,28176370,13642830
128x128,1350990,224600160,95945720
